en	ja	note
chromatogram	クロマトグラム
retention time	保持時間
mobile phase	移動相
stationary phase	固定相
internal standard	内部標準
external standard	外部標準
calibration	校正
linear range	直線範囲
signal-to-noise ratio	シグナル対ノイズ比
baseline	ベースライン
peak area	ピーク面積
peak height	ピーク高さ
resolution	分離度	分解能の意
sensitivity	感度
selectivity	選択性
precision	精度
accuracy	正確さ
reproducibility	再現性
sample preparation	試料調製
extraction	抽出
derivatization	誘導体化
matrix effect	マトリックス効果
detection limit	検出限界
quantification	定量
qualitative analysis	定性分析
quantitative analysis	定量分析
