en	ja	note
total synthesis	全合成
retrosynthesis	逆合成
retrosynthetic analysis	逆合成解析
protecting group	保護基
deprotection	脱保護
leaving group	脱離基
nucleophile	求核剤
electrophile	求電子剤
carbanion	カルバニオン
carbocation	カルボカチオン
radical	ラジカル
free radical	フリーラジカル
addition reaction	付加反応
elimination reaction	脱離反応
substitution reaction	置換反応
rearrangement	転位
condensation reaction	縮合反応
esterification	エステル化
hydrolysis	加水分解
hydrogenation	水素化
dehydrogenation	脱水素
epoxidation	エポキシ化
aldol reaction	アルドール反応
Michael addition	マイケル付加
Diels-Alder reaction	ディールス・アルダー反応
Suzuki coupling	鈴木カップリング
Grignard reagent	グリニャール試薬
asymmetric synthesis	不斉合成
chiral auxiliary	キラル補助基
racemization	ラセミ化
tautomer	互変異性体
conformation	立体配座
stereochemistry	立体化学
functional group	官能基
