en	ja	note
thermodynamics	熱力学
kinetics	速度論
enthalpy	エンタルピー
entropy	エントロピー
free energy	自由エネルギー
partition function	分配関数
wave function	波動関数
potential energy surface	ポテンシャルエネルギー曲面
transition state	遷移状態
reaction coordinate	反応座標
rate-determining step	律速段階
Arrhenius equation	アレニウス式
Boltzmann distribution	ボルツマン分布
statistical mechanics	統計力学
spectroscopy	分光法
vibrational mode	振動モード
rotational spectrum	回転スペクトル
electronic transition	電子遷移
ground state	基底状態
excited state	励起状態
perturbation theory	摂動論
basis set	基底関数系
ab initio calculation	アブイニシオ計算
