en	ja	note
monomer	モノマー
polymer	ポリマー
copolymer	共重合体
polymerization	重合
radical polymerization	ラジカル重合
living polymerization	リビング重合
ring-opening polymerization	開環重合
degree of polymerization	重合度
molecular weight distribution	分子量分布
number-average molecular weight	数平均分子量
weight-average molecular weight	重量平均分子量
polydispersity index	多分散指数
glass transition temperature	ガラス転移温度
crystallization temperature	結晶化温度
crosslinking	架橋
chain transfer	連鎖移動
end group	末端基
block copolymer	ブロック共重合体
graft copolymer	グラフト共重合体
elastomer	エラストマー
thermoplastic	熱可塑性樹脂
thermoset	熱硬化性樹脂
